,#,Country (or dependency),Population (2020),Yearly Change
68,69,Netherlands,17134872,0.22 %
69,70,Senegal,16743927,2.75 %
70,71,Cambodia,16718965,1.41 %
71,72,Chad,16425864,3.00 %
72,73,Somalia,15893222,2.92 %
73,74,Zimbabwe,14862924,1.48 %
74,75,Guinea,13132795,2.83 %
75,76,Rwanda,12952218,2.58 %
76,77,Benin,12123200,2.73 %
77,78,Burundi,11890784,3.12 %
78,79,Tunisia,11818619,1.06 %
79,80,Bolivia,11673021,1.39 %
80,81,Belgium,11589623,0.44 %
81,82,Haiti,11402528,1.24 %
82,83,Cuba,11326616,-0.06 %
83,84,South Sudan,11193725,1.19 %
84,85,Dominican Republic,10847910,1.01 %
85,86,Czech Republic (Czechia),10708981,0.18 %
86,87,Greece,10423054,-0.48 %
87,88,Jordan,10203134,1.00 %
88,89,Portugal,10196709,-0.29 %
89,90,Azerbaijan,10139177,0.91 %
90,91,Sweden,10099265,0.63 %
91,92,Honduras,9904607,1.63 %
92,93,United Arab Emirates,9890402,1.23 %
93,94,Hungary,9660351,-0.25 %
94,95,Tajikistan,9537645,2.32 %
95,96,Belarus,9449323,-0.03 %
96,97,Austria,9006398,0.57 %
97,98,Papua New Guinea,8947024,1.95 %
98,99,Serbia,8737371,-0.40 %
99,100,Israel,8655535,1.60 %
100,101,Switzerland,8654622,0.74 %
101,102,Togo,8278724,2.43 %
102,103,Sierra Leone,7976983,2.10 %
103,104,Hong Kong,7496981,0.82 %
104,105,Laos,7275560,1.48 %
105,106,Paraguay,7132538,1.25 %
106,107,Bulgaria,6948445,-0.74 %
107,108,Libya,6871292,1.38 %
108,109,Lebanon,6825445,-0.44 %
109,110,Nicaragua,6624554,1.21 %
110,111,Kyrgyzstan,6524195,1.69 %
111,112,El Salvador,6486205,0.51 %
112,113,Turkmenistan,6031200,1.50 %
113,114,Singapore,5850342,0.79 %
114,115,Denmark,5792202,0.35 %
115,116,Finland,5540720,0.15 %
116,117,Congo,5518087,2.56 %
117,118,Slovakia,5459642,0.05 %
118,119,Norway,5421241,0.79 %
119,120,Oman,5106626,2.65 %
120,121,State of Palestine,5101414,2.41 %
121,122,Costa Rica,5094118,0.92 %
122,123,Liberia,5057681,2.44 %
123,124,Ireland,4937786,1.13 %
124,125,Central African Republic,4829767,1.78 %
125,126,New Zealand,4822233,0.82 %
126,127,Mauritania,4649658,2.74 %
127,128,Panama,4314767,1.61 %
128,129,Kuwait,4270571,1.51 %
129,130,Croatia,4105267,-0.61 %
130,131,Moldova,4033963,-0.23 %
131,132,Georgia,3989167,-0.19 %
132,133,Eritrea,3546421,1.41 %
133,134,Uruguay,3473730,0.35 %
134,135,Bosnia and Herzegovina,3280819,-0.61 %
135,136,Mongolia,3278290,1.65 %
136,137,Armenia,2963243,0.19 %
137,138,Jamaica,2961167,0.44 %
138,139,Qatar,2881053,1.73 %
139,140,Albania,2877797,-0.11 %
140,141,Puerto Rico,2860853,-2.47 %
141,142,Lithuania,2722289,-1.35 %
142,143,Namibia,2540905,1.86 %
143,144,Gambia,2416668,2.94 %
144,145,Botswana,2351627,2.08 %
145,146,Gabon,2225734,2.45 %
146,147,Lesotho,2142249,0.80 %
147,148,North Macedonia,2083374,0.00 %
148,149,Slovenia,2078938,0.01 %
149,150,Guinea-Bissau,1968001,2.45 %
150,151,Latvia,1886198,-1.08 %
151,152,Bahrain,1701575,3.68 %
152,153,Equatorial Guinea,1402985,3.47 %
153,154,Trinidad and Tobago,1399488,0.32 %
154,155,Estonia,1326535,0.07 %
155,156,Timor-Leste,1318445,1.96 %
156,157,Mauritius,1271768,0.17 %
157,158,Cyprus,1207359,0.73 %
158,159,Eswatini,1160164,1.05 %
159,160,Djibouti,988000,1.48 %
160,161,Fiji,896445,0.73 %
161,162,Réunion,895312,0.72 %
162,163,Comoros,869601,2.20 %
163,164,Guyana,786552,0.48 %
164,165,Bhutan,771608,1.12 %
165,166,Solomon Islands,686884,2.55 %
166,167,Macao,649335,1.39 %
167,168,Montenegro,628066,0.01 %
168,169,Luxembourg,625978,1.66 %
169,170,Western Sahara,597339,2.55 %
170,171,Suriname,586632,0.90 %
171,172,Cabo Verde,555987,1.10 %
172,173,Micronesia,548914,1.00 %
173,174,Maldives,540544,1.81 %
174,175,Malta,441543,0.27 %
175,176,Brunei,437479,0.97 %
176,177,Guadeloupe,400124,0.02 %
177,178,Belize,397628,1.86 %
178,179,Bahamas,393244,0.97 %
179,180,Martinique,375265,-0.08 %
180,181,Iceland,341243,0.65 %
181,182,Vanuatu,307145,2.42 %
182,183,French Guiana,298682,2.70 %
183,184,Barbados,287375,0.12 %
184,185,New Caledonia,285498,0.97 %
185,186,French Polynesia,280908,0.58 %
186,187,Mayotte,272815,2.50 %
187,188,Sao Tome & Principe,219159,1.91 %
188,189,Samoa,198414,0.67 %
189,190,Saint Lucia,183627,0.46 %
190,191,Channel Islands,173863,0.93 %
191,192,Guam,168775,0.89 %
192,193,Curaçao,164093,0.41 %
193,194,Kiribati,119449,1.57 %
194,195,Grenada,112523,0.46 %
195,196,St. Vincent & Grenadines,110940,0.32 %
196,197,Aruba,106766,0.43 %
197,198,Tonga,105695,1.15 %
198,199,U.S. Virgin Islands,104425,-0.15 %
199,200,Seychelles,98347,0.62 %
200,201,Antigua and Barbuda,97929,0.84 %
201,202,Isle of Man,85033,0.53 %
202,203,Andorra,77265,0.16 %
203,204,Dominica,71986,0.25 %
204,205,Cayman Islands,65722,1.19 %
205,206,Bermuda,62278,-0.36 %
206,207,Marshall Islands,59190,0.68 %
207,208,Northern Mariana Islands,57559,0.60 %
208,209,Greenland,56770,0.17 %
209,210,American Samoa,55191,-0.22 %
210,211,Saint Kitts & Nevis,53199,0.71 %
211,212,Faeroe Islands,48863,0.38 %
212,213,Sint Maarten,42876,1.15 %
213,214,Monaco,39242,0.71 %
214,215,Turks and Caicos,38717,1.38 %
215,216,Saint Martin,38666,1.75 %
216,217,Liechtenstein,38128,0.29 %
217,218,San Marino,33931,0.21 %
218,219,Gibraltar,33691,-0.03 %
219,220,British Virgin Islands,30231,0.67 %
220,221,Caribbean Netherlands,26223,0.94 %
221,222,Palau,18094,0.48 %
222,223,Cook Islands,17564,0.09 %
223,224,Anguilla,15003,0.90 %
224,225,Tuvalu,11792,1.25 %
225,226,Wallis & Futuna,11239,-1.69 %
226,227,Nauru,10824,0.63 %
227,228,Saint Barthelemy,9877,0.30 %
228,229,Saint Helena,6077,0.30 %
229,230,Saint Pierre & Miquelon,5794,-0.48 %
230,231,Montserrat,4992,0.06 %
231,232,Falkland Islands,3480,3.05 %
232,233,Niue,1626,0.68 %
233,234,Tokelau,1357,1.27 %
234,235,Holy See,801,0.25 %
