,Country,Knife-related Deaths (est.),100k,Poverty Rate (WB),Pov
88,Malta,1.34,0.31,17.10%,17.1
89,Mauritania,54.97,1.37,31.00%,31
90,Mauritius,13.59,1.06,10.30%,10.3
91,Mexico,4699.22,3.76,41.90%,41.9
92,Micronesia,2.29,2.25,41.20%,41.2
93,Moldova,48.71,1.32,7.30%,7.3
94,Mongolia,85.8,2.53,28.40%,28.4
95,Montenegro,2.01,0.32,24.50%,24.5
96,Morocco,143.09,0.4,4.80%,4.8
97,Mozambique,446.93,1.51,46.10%,46.1
98,Myanmar,290.29,0.53,24.80%,24.8
99,Namibia,194.15,8.08,17.40%,17.4
100,Nepal,93.52,0.31,25.20%,25.2
101,Netherlands,43.45,0.25,13.60%,13.6
102,Nicaragua,130.86,2.01,24.90%,24.9
103,Niger,758.35,3.26,40.80%,40.8
104,Nigeria,5099.33,2.37,40.10%,40.1
105,North Macedonia,5.97,0.28,21.60%,21.6
106,Norway,13.39,0.25,12.70%,12.7
107,Pakistan,3387.67,1.51,24.30%,24.3
108,Palau,0.21,1.15,24.90%,24.9
109,Panama,99.59,2.39,22.10%,22.1
110,Papua New Guinea,351.82,3.57,39.90%,39.9
111,Paraguay,236.66,3.41,23.50%,23.5
112,Peru,235.88,0.69,20.20%,20.2
113,Philippines,5490.58,4.9,16.70%,16.7
114,Poland,189.07,0.49,15.40%,15.4
115,Portugal,33.62,0.32,17.20%,17.2
116,Romania,146.92,0.76,23.80%,23.8
117,Russia,6335.65,4.32,12.60%,12.6
118,Rwanda,96.03,0.76,38.20%,38.2
119,Saint Lucia,9.72,5.57,25.00%,25
120,Samoa,3.1,1.47,20.30%,20.3
121,Senegal,48.34,0.32,46.70%,46.7
122,Serbia,42.03,0.48,23.20%,23.2
123,Seychelles,2.19,2.14,25.30%,25.3
124,Sierra Leone,39.4,0.48,56.80%,56.8
125,Slovenia,5.22,0.25,12.00%,12
126,Solomon Islands,12.32,1.88,12.70%,12.7
127,South Africa,9424.33,16.95,55.50%,55.5
128,South Sudan,411.21,4.43,76.40%,76.4
129,Spain,163.56,0.36,20.70%,20.7
130,Sri Lanka,279.78,1.28,4.10%,4.1
131,Sudan,79.24,0.19,46.50%,46.5
132,Sweden,35.46,0.35,17.10%,17.1
133,Switzerland,14.36,0.16,16.00%,16
134,Syria,70.39,0.49,35.20%,35.2
135,Tajikistan,75.04,0.79,26.30%,26.3
136,Tanzania,837.72,1.48,26.40%,26.4
137,Thailand,802.82,1.15,9.90%,9.9
138,Timor Leste,17.69,1.33,41.80%,41.8
139,Togo,153.24,1.93,55.10%,55.1
140,Tonga,0.38,0.37,22.50%,22.5
141,Tunisia,9.38,0.08,15.20%,15.2
142,Turkey,462.75,0.57,14.40%,14.4
143,Tuvalu,0.24,2.04,26.30%,26.3
144,Uganda,592.5,1.44,21.40%,21.4
145,Ukraine,1477.3,3.35,1.10%,1.1
146,United Kingdom,52.62,0.08,18.60%,18.6
147,United States,1963.91,0.6,17.80%,17.8
148,Uruguay,55.54,1.62,8.80%,8.8
149,Uzbekistan,613.07,1.82,14.10%,14.1
150,Vanuatu,0.92,0.31,12.70%,12.7
151,Venezuela,622.54,2.22,33.10%,33.1
152,Vietnam,726.29,0.75,6.70%,6.7
153,Yemen,106.28,0.34,48.60%,48.6
154,Zambia,412.86,2.26,54.40%,54.4
155,Zimbabwe,361.48,2.41,38.30%,38.3
